#RIC,Alias Underlying RIC,Domain,Date-Time,GMT Offset,Type,Open,High,Low,Last,Volume,No. Trades,Open Bid,High Bid,Low Bid,Close Bid,No. Bids,Open Ask,High Ask,Low Ask,Close Ask,No. Asks
SHPS.OM,,Market Price,2022-07-14T20:00:00.000000000Z,+4,Intraday 1Hour,,,,,,,0.025,0.025,0.025,0.025,0,0.045,0.045,0.045,0.045,0
SHRQ.OM,,Market Price,2022-07-14T20:00:00.000000000Z,+4,Intraday 1Hour,,,,,,,0.113,0.113,0.113,0.113,0,0.115,0.115,0.115,0.115,0
SHUA.DU,,Market Price,2022-07-14T20:00:00.000000000Z,+4,Intraday 1Hour,,,,,,,0.486,0.49,0.486,0.486,0,0.488,0.491,0.488,0.491,0
SIB.AD,,Market Price,2022-07-14T20:00:00.000000000Z,+4,Intraday 1Hour,,,,,,,1.67,1.67,1.67,1.67,0,1.68,1.68,1.68,1.68,0
SICO.AD,,Market Price,2022-07-14T20:00:00.000000000Z,+4,Intraday 1Hour,,,,,,,,,,,,,,,,
SIHC.OM,,Market Price,2022-07-14T20:00:00.000000000Z,+4,Intraday 1Hour,,,,,,,0.081,0.081,0.081,0.081,0,0.089,0.089,0.089,0.089,0
SMNP.OM,,Market Price,2022-07-14T20:00:00.000000000Z,+4,Intraday 1Hour,,,,,,,0.045,0.045,0.045,0.045,0,0.047,0.047,0.047,0.047,0
SOMP.OM,,Market Price,2022-07-14T20:00:00.000000000Z,+4,Intraday 1Hour,,,,,,,,,,,,,,,,
SOMS.OM,,Market Price,2022-07-14T20:00:00.000000000Z,+4,Intraday 1Hour,,,,,,,0.8,0.8,0.8,0.8,0,0.868,0.868,0.868,0.868,0
SOOR.KW,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,146,146,146,146,0,151,151,151,151,0
SPEC.KW,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,96.5,96.5,96.5,96.5,0,99.7,99.7,99.7,99.7,0
SPFI.OM,,Market Price,2022-07-14T20:00:00.000000000Z,+4,Intraday 1Hour,,,,,,,0.126,0.13,0.126,0.13,0,0.15,0.15,0.15,0.15,0
SPSI.OM,,Market Price,2022-07-14T20:00:00.000000000Z,+4,Intraday 1Hour,,,,,,,0.52,0.52,0.52,0.52,0,0.548,0.548,0.548,0.548,0
SREK.KW,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,471,471,471,471,0,489,489,489,489,0
SSPW.OM,,Market Price,2022-07-14T20:00:00.000000000Z,+4,Intraday 1Hour,,,,,,,0.068,0.068,0.068,0.068,0,0.073,0.073,0.073,0.073,0
SSUD.DU,,Market Price,2022-07-14T20:00:00.000000000Z,+4,Intraday 1Hour,,,,,,,1.1,1.11,1.1,1.11,0,1.32,1.32,1.32,1.32,0
STC.KW,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,630,630,630,630,0,648,648,648,648,0
SUDATEL.AD,,Market Price,2022-07-14T20:00:00.000000000Z,+4,Intraday 1Hour,,,,,,,0.31,0.31,0.31,0.31,0,0.345,0.345,0.345,0.345,0
SUWP.OM,,Market Price,2022-07-14T20:00:00.000000000Z,+4,Intraday 1Hour,,,,,,,0.047,0.047,0.047,0.047,0,0.049,0.049,0.049,0.049,0
TABR.DU,,Market Price,2022-07-14T20:00:00.000000000Z,+4,Intraday 1Hour,,,,,,,2.72,2.72,2.72,2.72,0,2.77,2.84,2.77,2.84,0
TAHS.KW,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,21.1,21.1,21.1,21.1,0,24,24,24,24,0
TAMI.KW,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,478,478,478,478,0,485,485,485,485,0
TAMK.KW,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,324,324,323,323,0,330,330,330,330,0
