#RIC,Alias Underlying RIC,Domain,Date-Time,GMT Offset,Type,Open,High,Low,Last,Volume,No. Trades,Open Bid,High Bid,Low Bid,Close Bid,No. Bids,Open Ask,High Ask,Low Ask,Close Ask,No. Asks
2270.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,157.4,165.4,0,158,0,157.8,159,0,159,0
2280.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,51,51.4,0,51.4,0,51.3,51.9,0,51.9,0
2290.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,0,45.4,0,45.4,0,45.35,45.45,0,45.45,0
2300.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,44.6,44.6,44.1,44.1,0,45.05,45.05,0,44.5,0
2310.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,39.2,39.3,0,39.3,0,39.25,39.35,0,39.35,0
2320.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,21.5,21.52,21.48,21.48,0,21.5,21.5,21.44,21.5,0
2330.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,0,42.85,0,42.85,0,43.2,43.25,0,43.05,0
2340.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,16.6,16.6,0,16.08,0,16.08,16.1,0,16.1,0
2350.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,0,14.14,0,14.12,0,14.04,14.16,0,14.14,0
2360.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,46.25,46.25,0,46.2,0,46.5,46.5,46.5,46.5,0
2370.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,13,13,12.1,12.12,0,12.46,12.46,0,12.24,0
2380.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,17.46,17.46,0,17.44,0,17.46,17.46,0,17.46,0
3001.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,13.08,13.08,0,13.04,0,13.08,13.08,0,13.06,0
3003.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,21.5,21.5,0,21.4,0,0,21.62,0,21.62,0
3004.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,11.7,11.7,11.18,11.2,0,11.22,11.22,11.16,11.22,0
3005.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,20.76,20.9,20.7,20.9,0,20.8,21,0,21,0
3007.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,34.1,34.5,0,34,0,34.25,34.25,0,34.25,0
3008.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,41.45,41.45,41.45,41.45,0,41.55,41.7,41.55,41.7,0
3010.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,34.25,34.3,0,34.3,0,34.3,34.4,0,34.4,0
3020.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,24.5,25.65,0,24.5,0,24.6,24.6,0,24.6,0
3030.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,49.95,52.5,0,49.7,0,50.3,50.3,0,50.3,0
3040.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,79,79.1,0,78.8,0,79.1,79.1,0,79,0
3050.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,55.1,55.3,0,55.1,0,55.2,55.9,0,55.9,0
3060.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,34,34.1,0,34.1,0,34.1,34.45,0,34.4,0
3080.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,43.05,43.05,0,43.05,0,42.45,43.55,0,43.55,0
3090.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,14,14.14,14,14.02,0,13.4,14.08,13.08,14.08,0
3091.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,9.84,9.85,9.84,9.84,0,9.85,9.85,9.85,9.85,0
4001.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,109,109,0,109,0,109.2,109.2,0,109.2,0
4002.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,0,225.8,0,225.4,0,227,227,0,227,0
4003.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,106.8,106.8,0,106.4,0,107,107,0,106.8,0
4004.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,112.8,112.8,0,112.6,0,113.2,113.2,0,113.2,0
4005.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,0,51.3,0,51.2,0,51.3,51.4,0,51.3,0
4006.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,19.8,20.12,19.8,19.8,0,19.74,20.04,0,20.04,0
4007.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,42,42.05,0,41.75,0,42.05,42.05,0,42,0
4008.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,35.1,35.1,0,33.6,0,33.85,33.85,0,33.85,0
4009.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,31.5,31.65,0,31.45,0,0,31.65,0,31.6,0
4010.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,21,22,0,21,0,21,21.06,21,21.06,0
4011.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,14.02,14.02,14,14.02,0,14.02,14.08,0,14.08,0
4012.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,31.4,31.5,0,31.35,0,31.45,31.5,29.15,31.4,0
4013.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,0,195,0,195,0,196,196.2,0,196.2,0
4020.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,11.82,12,0,11.82,0,11.84,11.86,0,11.86,0
4030.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,0,19.98,0,19.98,0,19.96,20,0,20,0
4031.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,26.25,27.6,0,26.2,0,26.25,26.45,0,26.45,0
4040.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,15.02,16.68,15.02,15.04,0,15.04,15.06,14.98,15.06,0
4050.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,32.85,32.95,0,32.9,0,32.85,33,0,33,0
4051.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,0,59.3,0,59,0,59.4,59.4,0,59.3,0
4061.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,21.4,22.1,0,21.3,0,21.42,21.42,0,21.38,0
4070.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,90,102.4,0,90,0,90.6,90.6,90.5,90.6,0
4080.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,14.1,15,14.08,14.08,0,14.12,14.16,13.1,14.16,0
4090.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,28.15,28.35,0,28.15,0,28.1,28.2,0,28.2,0
4100.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,67.7,67.8,67.6,67.6,0,68,68,0,67.7,0
4110.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,25.85,25.85,0,25.85,0,25.85,25.9,0,25.9,0
4130.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,14.9,15.04,14.88,14.88,0,14.92,15,0,14.9,0
4140.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,33,36,0,33.1,0,33,33.15,0,33.15,0
4141.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,77,77.2,76.6,76.6,0,0,76.7,0,76.7,0
4150.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,0,21.32,0,21.32,0,21.4,21.4,0,21.38,0
4161.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,82.2,82.3,0,81.9,0,0,83.4,0,83.4,0
4170.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,171,171,170.8,170.8,0,171,171.4,0,171.4,0
4180.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,0,33,0,32.1,0,32.1,34.7,0,34.7,0
4190.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,0,151.2,0,151,0,151.6,151.8,0,151.2,0
4191.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,26.5,26.65,0,26.6,0,0,26.7,0,26.7,0
4200.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,67,70.2,0,67,0,67.1,67.2,0,67.2,0
4210.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,0,164.8,0,164,0,163.8,165,0,164.8,0
4220.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,9.42,9.48,0,9.48,0,9.45,9.49,0,9.49,0
4230.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,13.04,13.1,13.02,13.02,0,13.02,13.12,0,13.1,0
4240.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,16.88,17.82,0,16.8,0,17,17,0,16.9,0
4250.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,23.02,23.1,23.02,23.04,0,23.04,23.08,0,23.08,0
4260.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,45.8,45.8,44.05,44.2,0,44.25,44.3,0,44.25,0
4261.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,59.7,62.7,0,59.7,0,60,60,0,60,0
4270.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,14.76,14.84,14.62,14.62,0,14.84,14.84,0,14.7,0
4280.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,8.86,8.86,0,8.86,0,0,8.91,0,8.91,0
4290.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,14.18,14.32,0,14.2,0,14.2,14.3,0,14.3,0
4291.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,61.5,64.7,61.5,61.5,0,62,62,0,61.9,0
4292.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,57.7,58,57.7,57.7,0,57.9,58.1,57.9,58,0
4300.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,11.06,11.06,0,11.04,0,11.08,11.08,0,11.06,0
4310.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,11.5,11.5,0,11.48,0,11.48,11.5,11.46,11.5,0
4320.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,15.7,15.86,15.46,15.46,0,15.72,15.84,15.72,15.8,0
4321.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,19.22,19.26,0,19.26,0,19.22,19.28,0,19.28,0
4330.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,10.16,10.18,10.16,10.16,0,10.18,10.18,10.18,10.18,0
4331.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,17.14,17.18,16.96,16.96,0,17,17,0,17,0
4332.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,7.51,7.51,0,7.51,0,7.51,7.52,0,7.52,0
4333.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,11.9,11.9,11.88,11.88,0,11.9,11.98,11.9,11.98,0
4334.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,8.74,8.74,8.74,8.74,0,8.75,8.75,8.75,8.75,0
4335.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,9.72,9.72,9.71,9.71,0,9.73,9.73,9.73,9.73,0
4336.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,9.1,9.18,0,9.11,0,9.18,9.19,0,9.18,0
4337.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,6.87,6.94,6.87,6.88,0,6.9,6.9,0,6.9,0
4338.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,10.12,10.12,10.1,10.1,0,10.14,10.14,0,10.14,0
4339.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,11.06,11.08,11.06,11.06,0,11.08,11.08,11.08,11.08,0
4340.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,9.2,9.22,9.2,9.2,0,9.21,9.21,0,9.21,0
4342.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,11.78,11.8,0,11.8,0,11.8,12,0,12,0
4344.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,9.95,9.95,0,9.95,0,9.47,9.96,9.47,9.96,0
4345.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,5.71,6,5.71,5.71,0,5.75,5.75,0,5.75,0
4346.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,6.01,6.01,0,5.99,0,6,6.02,0,6.02,0
4347.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,9.36,9.79,0,9.36,0,9.38,9.38,9.38,9.38,0
4348.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,8.1,8.11,0,8.1,0,8.1,8.11,8.1,8.11,0
4700.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,7.05,7.06,7.05,7.05,0,7.06,7.06,0,7.06,0
5110.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,23.22,23.34,0,23.34,0,23.32,23.42,0,23.42,0
6001.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,64.3,64.3,64.1,64.1,0,64.4,64.4,64.4,64.4,0
6002.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,40.1,40.15,0,40.05,0,38.5,40.1,0,40.1,0
6004.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,69.9,73.2,0,70,0,70,70.1,0,70.1,0
6010.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,29.45,33.45,0,29.55,0,29.6,29.9,0,29.9,0
6012.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,11.98,12,0,11.94,0,12,12,0,12,0
6020.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,19.2,19.2,0,18.64,0,19.24,19.24,0,19.2,0
6040.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,17.9,17.92,0,17.82,0,17.88,17.9,0,17.9,0
6050.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,32.2,32.2,0,32.1,0,32.3,32.3,0,32.3,0
6060.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,63.5,64.4,63.5,63.5,0,63.5,63.9,0,63.9,0
6070.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,42.85,43.5,0,42.85,0,43,43,42.85,43,0
6090.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,15,15.3,15,15,0,15.08,15.12,0,15.12,0
7010.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,100.2,100.6,0,100.6,0,100.4,100.8,0,100.8,0
7020.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,35.4,35.5,0,35.5,0,35.45,35.55,0,35.55,0
7030.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,11.14,11.16,0,11.14,0,11.16,11.18,0,11.16,0
7040.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,39.65,45,39.65,39.65,0,39.65,39.7,39.65,39.7,0
7200.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,83.6,83.7,0,83.7,0,83.7,84.1,82.8,84.1,0
7201.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,62.2,67,0,62,0,62.2,62.2,0,62.2,0
8010.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,56.5,59.2,0,56.5,0,53.8,57.3,0,57.3,0
8012.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,15.1,17,0,15.06,0,15.18,15.18,15,15.1,0
8020.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,13.7,16.02,13.64,13.66,0,13.7,13.7,0,13.68,0
8030.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,10.5,10.5,10.48,10.5,0,10.48,10.52,0,10.52,0
8040.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,15.16,15.18,15.16,15.16,0,15.16,15.3,15.16,15.3,0
8050.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,11.42,11.62,11.42,11.6,0,11.58,11.62,11.54,11.62,0
8060.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,12.4,12.4,12.34,12.34,0,12.4,12.4,0,12.4,0
8070.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,16.34,16.44,16.34,16.44,0,16.4,16.46,0,16.46,0
8080.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,15.7,16,15.7,15.7,0,15.7,15.8,15.6,15.8,0
8100.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,20,20,0,19.96,0,0,20.1,0,20,0
8120.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,9.88,9.88,8.84,8.84,0,8.85,8.89,8.85,8.89,0
8150.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,13.8,13.86,13.8,13.8,0,13.86,14,0,14,0
8160.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,19.36,20,19.34,19.34,0,0,19.46,0,19.36,0
8170.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,14.26,14.26,14.26,14.26,0,14.3,14.3,14.3,14.3,0
8180.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,9,9,9,9,0,9.98,9.98,9.98,9.98,0
8190.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,26.8,26.8,26.25,26.25,0,27,27,0,27,0
8200.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,15.2,15.2,15.2,15.2,0,15.3,15.3,15.3,15.3,0
8210.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,0,158.2,0,158.2,0,160,161,0,161,0
8230.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,69,69.5,69,69.1,0,0,69.5,0,69.2,0
8240.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,22.5,23,21.28,21.28,0,21.46,21.46,21.46,21.46,0
8250.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,22.8,24.48,22.7,22.78,0,22,22.92,0,22.92,0
8260.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,8.47,9.61,8.47,8.47,0,8.48,8.48,7.87,8.48,0
8270.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,19,19,18.96,18.96,0,19,19,18.98,19,0
8280.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,18.04,18.96,18.02,18.3,0,18.2,18.48,0,18.48,0
8300.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,14.84,14.98,14.84,14.86,0,14.84,14.92,14.84,14.92,0
8310.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,11.4,12.32,11.38,11.38,0,0,11.4,0,11.4,0
8311.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,17.92,18.5,0,17.66,0,17.92,17.92,0,17.88,0
8312.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,20.78,21.6,20.22,20.22,0,20.78,20.98,0,20.98,0
9400.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,47.5,47.65,47.45,47.45,0,47.7,47.85,47.65,47.8,0
9401.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,37,37,36.85,36.85,0,37.35,37.35,37,37,0
9402.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,45.2,45.2,44.95,44.95,0,45.3,45.3,45.2,45.2,0
9403.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,8.84,8.84,8.82,8.82,0,8.86,8.86,8.83,8.84,0
9404.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,99,99,99,99,0,99.1,99.1,99.1,99.1,0
9405.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,9.66,9.69,9.62,9.67,0,9.7,9.7,9.64,9.68,0
9510.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,261,261,232,232,0,293,293,257,257,0
9511.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,53.2,53.2,53.2,53.2,0,53.8,53.8,53.8,53.8,0
9512.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,32,32,31.75,31.75,0,32,32,32,32,0
9513.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,0,51.4,0,51.4,0,51.5,51.5,51.5,51.5,0
9514.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,84.1,84.1,84.1,84.1,0,87,87,86,86,0
9515.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,172.2,172.2,172,172,0,172.2,174.8,172.2,174.8,0
9516.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,63.2,63.2,62.6,62.6,0,63.2,63.2,63.1,63.2,0
9517.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,72,72,72,72,0,74.5,74.5,74.5,74.5,0
9518.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,49,49,48.9,48.9,0,49,50,49,49,0
9519.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,51.5,51.5,51.5,51.5,0,52.8,52.8,52.8,52.8,0
9520.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,114.8,114.8,113.6,113.6,0,112,114.8,112,114.8,0
AABQ.QA,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,3.97,3.97,3.97,3.97,0,4.15,4.15,4.15,4.15,0
AACT.OM,,Market Price,2022-07-14T20:00:00.000000000Z,+4,Intraday 1Hour,,,,,,,0.42,0.42,0.42,0.42,0,0.44,0.44,0.44,0.44,0
AAIC.OM,,Market Price,2022-07-14T20:00:00.000000000Z,+4,Intraday 1Hour,,,,,,,0.072,0.072,0.072,0.072,0,0.075,0.075,0.075,0.075,0
AAN.DU,,Market Price,2022-07-14T20:00:00.000000000Z,+4,Intraday 1Hour,,,,,,,,,,,,,,,,
AAN.KW,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,,,,,,,,,,
AAYA.KW,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,130,130,130,130,0,137,137,137,137,0
ABAR.KW,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,122,122,122,122,0,132,132,132,132,0
ABCB.BH,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,,,,,,0.295,0.295,0.295,0.295,0
ABHS.OM,,Market Price,2022-07-14T20:00:00.000000000Z,+4,Intraday 1Hour,,,,,,,,,,,,,,,,
ABKK.KW,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,315,315,315,315,0,321,321,321,321,0
ABMI.OM,,Market Price,2022-07-14T20:00:00.000000000Z,+4,Intraday 1Hour,,,,,,,,,,,,,,,,
ABNIC.AD,,Market Price,2022-07-14T20:00:00.000000000Z,+4,Intraday 1Hour,,,,,,,2.3,2.3,2.3,2.3,0,,,,,
